Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
0343-1,Various,Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack),"ABKCO, Universal, ILIAD","LP, Comp, Red",,2010,2421969,Soundtracks,2020-11-26 01:41:50,Mint (M),Mint (M),
AR060,Stickup Kid,Future Fire ,Adeline Records,"LP, Album, Pur",,2013,4821605,Uncategorized,2021-05-28 17:26:09,Near Mint (NM or M-),Near Mint (NM or M-),
87479-1,A Day To Remember,Bad Vibrations,ADTR Records,"LP, Album",,2016,8983628,Uncategorized,2021-04-03 20:02:33,Near Mint (NM or M-),Near Mint (NM or M-),
87754-1,A Day To Remember,Common Courtesy,"ADTR Records, Epitaph","2xLP, Album, Ltd, RE, Cle",,2022,24610886,Uncategorized,2022-10-16 14:42:55,Mint (M),Mint (M),
AMBR006V,Enter Shikari,Common Dreads,Ambush Reality,"LP, Album, RE",,2019,14247286,Uncategorized,2022-02-11 15:22:48,,,
AMBR035LP,Enter Shikari,Take To The Skies: Live In Moscow (Bootleg Series Vol.9),Ambush Reality,"2xLP, Album, Ltd, Gre",,2019,13260983,Uncategorized,2022-01-15 10:09:18,Near Mint (NM or M-),Very Good Plus (VG+),Signed Copy by all Band Members
PIASR99OLP,Enter Shikari,The Spark,"Ambush Reality, [pias], Play It Again Sam","LP, Ltd, RP, Gal",,2021,19861213,Uncategorized,2021-10-05 05:45:51,Mint (M),Very Good Plus (VG+),
790 125-1,Yes,90125,ATCO Records,"LP, Album, RE",,0,5842884,Uncategorized,2021-04-26 20:22:12,Good Plus (G+),Good (G),
ATO0399,Benjamin Booker,Witness,ATO Records,LP,,2017,10400663,VNYL Suggestions,2021-04-10 20:38:45,,,
BTR-075,"Dan Campbell (3), Ace Enders","Clear Eyes Fanzine (Season One, Episodes 01-06)","Bad Timing Records, Loneliest Place On Earth","LP, S/Sided, Ltd, Gol",,2023,27686001,Uncategorized,2023-09-11 12:08:05,,,
bark32lp,Death Cab For Cutie,Transatlanticism,Barsuk Records,"2xLP, Album, RE, 180",,2013,5047126,Uncategorized,2023-10-22 16:15:57,,,
BR-003,Hollow Front,Still Life,Beckwith Records,"12"", EP, Red",,2021,21649108,Uncategorized,2022-01-15 10:10:30,Mint (M),Mint (M),
BLCKND004R-1,Metallica,Ride The Lightning,Blackened,"LP, Album, RE, RM",,2016,8385645,Music I Grew Up With,2021-04-26 19:53:37,Near Mint (NM or M-),Near Mint (NM or M-),
BLCKND007R-1,Metallica,...And Justice For All,Blackened,"2xLP, Album, RE, RM, 180",,2018,12729473,Music I Grew Up With,2021-04-26 19:54:30,Near Mint (NM or M-),Near Mint (NM or M-),
BSR-008-1,Eidola,Degeneraterra,Blue Swan Records (2),"2xLP, Album, RE, Eve",,2023,27762630,Uncategorized,2023-08-01 18:28:57,,,
none,Wolf & Bear,Bloodletter,Blue Swan Records (2),"LP, Album, Mag",,2023,28748326,Uncategorized,2024-06-11 10:50:26,,,
"none, EVR393",Hail The Sun,Wake,"Blue Swan Records (2), Equal Vision Records","LP, Album, RE, Lig",,2022,23713304,Uncategorized,2022-06-28 15:28:26,,,
"BSR-013-1, none",Eidola,"To Speak, To Listen","Blue Swan Records (2), Rise Records","LP, Ltd, Aqu",,2023,27762675,Uncategorized,2023-08-01 18:29:39,,,
483-1,Eidola,The Architect,"Blue Swan Records (2), Rise Records (3)","LP, Album, Ltd, Bla",,2021,23341094,Uncategorized,2022-05-24 17:34:21,Near Mint (NM or M-),Mint (M),
BMG14013V,Iron Maiden,Piece Of Mind,"BMG, INGrooves","LP, Album, RE, 180",,2014,6298465,Music I Grew Up With,2021-04-03 19:55:37,Near Mint (NM or M-),Near Mint (NM or M-),
"4050538671681, 538671681, 538698101",Iron Maiden,Senjutsu,"BMG, Label, BMG","3xLP, Album, Ltd, Sil",,2021,20111404,Music I Grew Up With,2021-09-09 13:28:59,,,
B0032226-01,Selena,Ones,Capitol Latin,"2xLP, Comp, Ltd, Pic, Tar",,2020,15569094,Pop,2021-04-03 16:47:41,Near Mint (NM or M-),Near Mint (NM or M-),
B003286301,Halsey,Manic,Capitol Records,"LP, Album, Ltd, Vio",,2020,16185029,Pop,2021-04-03 19:15:51,Near Mint (NM or M-),Near Mint (NM or M-),Hype sticker retained. Target Exclusive Variant.
7714039,Queensrÿche,Operation: Mindcrime,"Capitol Records, Universal","2xLP, Album, RE",,2021,19270393,Music I Grew Up With,2021-07-18 19:27:40,Near Mint (NM or M-),Near Mint (NM or M-),
9984411,Marathonmann,...Und Wir Vergessen Was Vor Uns Liegt,Century Media,"LP, Album, Dar + CD, Album",,2014,5923751,Uncategorized,2023-01-10 18:36:05,Mint (M),Mint (M),
CCA045,Incendiary (3),Crusade,Closed Casket Activities,"12"", Album, RP, Clo",,2023,27287415,Uncategorized,2025-04-22 11:58:59,,,
88697680571,Miles Davis,Kind Of Blue,"Columbia, Legacy","LP, Album, RE, 180",,2010,2825456,Uncategorized,2021-07-31 12:21:33,Near Mint (NM or M-),Mint (M),
88875120971,Various,Top Gun (Original Motion Picture Soundtrack),"Columbia, Legacy","LP, Album, RE",,2015,7612140,Soundtracks,2021-04-26 19:52:17,Near Mint (NM or M-),Near Mint (NM or M-),
ST-12526,Megadeth,Peace Sells... But Who's Buying?,"Combat, Capitol Records","LP, Album",,1986,1988677,Music I Grew Up With,2021-08-17 19:49:13,Near Mint (NM or M-),Mint (M),
CIR050,Origami Angel,Somewhere City,Counter Intuitive Records,"LP, Album, Ltd, Pin",,2020,15848190,Uncategorized,2021-06-28 16:00:28,Near Mint (NM or M-),Near Mint (NM or M-),
BMC00020,Evanescence,Fallen,Craft Recordings,"LP, Album, Ltd, RE, Sil",,2019,13642596,Music I Grew Up With,2021-05-10 20:11:19,Near Mint (NM or M-),Near Mint (NM or M-),
CR00401,Silverstein,Arrivals & Departures,"Craft Recordings, Victory Records","LP, Album, Gre + 7"", Single, Gre + RSD, RE, RM, 15",,2022,25207795,Favorite Bands,2023-01-10 18:35:17,Near Mint (NM or M-),Near Mint (NM or M-),
DOC200,Phoebe Bridgers,Punisher,Dead Oceans,"LP, Album",,2020,15492389,Uncategorized,2021-04-03 19:17:34,Near Mint (NM or M-),Near Mint (NM or M-),
DK130.2,Forests (2),Sun Eat Moon Grave Party,Dog Knights Productions,"LP, Album, RE, Ult",,2024,32099583,Uncategorized,2024-12-03 20:13:13,,,
19658882641 - S1,Tori Kelly,Tori.,Epic,"LP, Tra",,2024,30511378,Uncategorized,2025-01-13 14:30:30,Mint (M),,
88985376871,Pearl Jam,Ten,"Epic Associated, Sony Music","LP, Album, RE",,2017,11112928,Music I Grew Up With,2021-05-10 20:09:56,Near Mint (NM or M-),Near Mint (NM or M-),
86457-1,NOFX,Eating Lamb,Epitaph,"LP, Album",,1996,1230785,Uncategorized,2021-04-03 21:31:14,Near Mint (NM or M-),Near Mint (NM or M-),
87189-1,The Ghost Inside,Get What You Give,Epitaph,"LP, Album, RE, No ",,2022,12135576,Uncategorized,2021-05-16 22:05:53,Near Mint (NM or M-),Near Mint (NM or M-),
87349-1,The Ghost Inside,Dear Youth,Epitaph,"LP, Album + CD, Album",,2014,6407230,Uncategorized,2021-05-06 16:56:41,Near Mint (NM or M-),Near Mint (NM or M-),
87463-1,The Ghost Inside,The Ghost Inside,Epitaph,"LP, Album",,2020,15475558,Uncategorized,2021-05-03 19:45:54,Near Mint (NM or M-),Mint (M),
87580-7,Architects (2),Doomsday,Epitaph,"7"", S/Sided, Single, Etch, Ltd",,2017,11374528,Uncategorized,2021-05-03 19:48:58,Very Good Plus (VG+),Near Mint (NM or M-),
87594-1,Thrice,Palms,Epitaph,"LP, Album, 180",,2018,12520124,Uncategorized,2021-04-03 21:28:07,Near Mint (NM or M-),Near Mint (NM or M-),
87747-1,Every Time I Die,Radical,Epitaph,"LP, Album, Gat + LP, S/Sided, Album, Etch",,2021,20682586,Uncategorized,2022-06-07 16:22:59,,,
87855-1C2,The Ghost Inside,Rise From The Ashes (Live At The Shrine),Epitaph,"2xLP, Ltd, Red",,2021,21943975,Uncategorized,2022-02-22 16:55:33,Near Mint (NM or M-),Near Mint (NM or M-),
EPIT28010-3,The Ghost Inside,Searching For Solace,Epitaph,"LP, Album, Opa",,2024,30930021,Uncategorized,2024-06-11 10:50:04,,,
"EPITAPH 87253-1, 87253-2",Bring Me The Horizon,Sempiternal,"Epitaph, Epitaph","LP, Album + CD, Album",,2013,4524081,Uncategorized,2022-02-26 18:13:34,,,
 EVR4741,Hail The Sun,Divine Inner Tension,Equal Vision Records,"LP, Album, Ltd, Bla",,2023,27956160,Uncategorized,2023-08-23 06:22:52,,,
EVR 312,I The Mighty,Connector,Equal Vision Records,"LP, Album, Ltd, Ora",,2019,14535594,Uncategorized,2021-07-31 12:19:45,Near Mint (NM or M-),Near Mint (NM or M-),
EVR103,Circa Survive,Juturna,Equal Vision Records,"LP, Album, Ltd, RE, Gre",,2022,24922310,Uncategorized,2022-10-29 15:14:46,Near Mint (NM or M-),Mint (M),
EVR139,Circa Survive,On Letting Go,Equal Vision Records,"LP, Album, Ltd, RE, Bla",,2021,18139915,Uncategorized,2021-04-07 16:32:07,Near Mint (NM or M-),Near Mint (NM or M-),
EVR174,We Came As Romans,To Plant A Seed,Equal Vision Records,"LP, Album, Ltd, RE, RP, Blu",,2021,21173887,Uncategorized,2022-12-03 19:07:24,,,
EVR238,A Lot Like Birds,No Place,Equal Vision Records,"LP, Album, Ltd, Cri",,2016,8411126,Uncategorized,2022-12-03 19:06:28,,,
EVR443,Hail The Sun,New Age Filth,Equal Vision Records,"LP, Album, Ltd, Lig",,2021,18369370,Uncategorized,2021-04-23 17:20:03,Near Mint (NM or M-),Near Mint (NM or M-),
EVR461,Donovan Melero,Chelsea Park After Dark,Equal Vision Records,"LP, Album, Ltd, Dar",,2022,25659235,Uncategorized,2023-01-10 18:31:11,Mint (M),Mint (M),
none,Kurt Travis,Everything Is Beautiful,"Esque Records, Blue Swan Records (2)","LP, Album, RE, Gho",,2024,29598571,Uncategorized,2024-06-11 11:17:31,,,
"FAN01787, FAN01977",L.S. Dunes,Past Lives,"Fantasy, Fantasy","LP, Ltd, Cle",,2022,25121866,Uncategorized,2023-01-10 18:34:01,Near Mint (NM or M-),Near Mint (NM or M-),
30166-1,Pierce The Veil,Collide With The Sky,Fearless Records,"LP, Album",,0,9557014,Uncategorized,2021-04-03 21:25:18,Near Mint (NM or M-),Near Mint (NM or M-),
FEAR-39248-01,Real Friends,The Home Inside My Head,Fearless Records,"LP, Album, Whi",,2016,11539540,Uncategorized,2021-07-10 10:02:19,Mint (M),Mint (M),
FEAR-39254-01,The Color Morale,Desolate Divine,Fearless Records,"LP, Album, Ltd, Whi",,2016,9191165,Uncategorized,2021-06-28 15:59:31,Near Mint (NM or M-),Near Mint (NM or M-),
FEAR00316,I Prevail,Heart Vs. Mind / Lifelines,Fearless Records,"12"", EP, Cle + LP, Album, Cle + Comp, Ltd, RP, S/E",,2017,11517535,Uncategorized,2021-04-03 19:30:36,Near Mint (NM or M-),Near Mint (NM or M-),
FEAR00449,Underoath,Erase Me,Fearless Records,"LP, Album, Ltd, Num, Cle",,2018,11812028,Uncategorized,2021-07-10 10:00:17,Mint (M),Mint (M),
FEAR00661,I Prevail,Trauma,Fearless Records,"LP, Album",,2019,13420818,Uncategorized,2021-04-03 19:32:23,Very Good Plus (VG+),Good Plus (G+),Minor spine wear
FEAR01167,August Burns Red,Guardians,Fearless Records,"2xLP, Album, Gre",,2020,15043916,Uncategorized,2022-01-29 19:37:23,Mint (M),Mint (M),
fear01185,Movements (4),No Good Left To Give,Fearless Records,"LP, Album, Gri",,2020,15935554,Uncategorized,2021-04-15 17:07:36,Near Mint (NM or M-),Near Mint (NM or M-),
FEAR01508,I Prevail,Post Traumatic,Fearless Records,"2xLP, Album, Ltd, Cya",,2020,16957521,Uncategorized,2021-04-03 19:30:00,Near Mint (NM or M-),Near Mint (NM or M-),
FEAR01896,Ice Nine Kills,Every Trick In The Book,Fearless Records,"LP, Album, Ltd, RP, Sky",,2021,21243853,Uncategorized,2021-12-25 11:54:32,,,
FRL 30210-1,August Burns Red,Found In Far Away Places,Fearless Records,"LP, Album, Ora",,2020,16183809,Uncategorized,2022-01-29 19:36:30,Mint (M),Mint (M),
"FEAR01833, FEAR02310",I Prevail,True Power ,"Fearless Records, Fearless Records","LP, Album, Ltd, Gol",,2022,25503448,Uncategorized,2023-01-10 18:28:57,Near Mint (NM or M-),Near Mint (NM or M-),
075678651250,A Day To Remember,You're Welcome,Fueled By Ramen,"LP, Album, Ltd, Red",,2021,17709241,Uncategorized,2021-04-03 19:20:33,Near Mint (NM or M-),Near Mint (NM or M-),
B0025294-01,Blink-182,Blink-182,"Geffen Records, UMe","LP + LP, S/Sided, Etch + Album, RE, 180",,2016,9152378,Uncategorized,2021-04-03 19:23:35,Near Mint (NM or M-),Near Mint (NM or M-),
"B0025291-01, B0018185-01",Blink-182,Take Off Your Pants And Jacket,"Geffen Records, UMe, Geffen Records, UMe","LP, Album, RE, RP, 180",,2016,9152609,Uncategorized,2021-04-03 21:24:49,Near Mint (NM or M-),Near Mint (NM or M-),
GLS-0121-01,Childish Gambino,Camp,Glassnote (2),"2xLP, Album, Ltd, RE, 180",,2017,10095821,Uncategorized,2021-05-28 17:33:56,Very Good Plus (VG+),Near Mint (NM or M-),
GLS-0152-01R,Childish Gambino,Because The Internet,Glassnote (2),"2xLP, Album, RP",,2020,16233494,Uncategorized,2021-06-04 16:15:30,Near Mint (NM or M-),Near Mint (NM or M-),
"708761936612, 094633112810",Relient K,Mmhmm,"Gotee Records, Mono vs. Stereo","2xLP, Album, RP, Ora",,2016,8388536,Uncategorized,2021-05-08 08:26:04,Near Mint (NM or M-),Near Mint (NM or M-),
HR2154-1,The Wonder Years,The Greatest Generation,Hopeless Records,"2xLP, Album, RE, Whi",,2015,7225025,Favorite Bands,2021-04-03 19:34:32,Near Mint (NM or M-),Near Mint (NM or M-),
HR2172-1,The Wonder Years,No Closer To Heaven,Hopeless Records,"LP + LP, S/Sided, Etch + Album, RE, Cle",,2018,13017211,Favorite Bands,2021-04-03 19:35:30,Near Mint (NM or M-),Near Mint (NM or M-),
